categoria;descricao_categoria;nome_coluna;descricao;sinonimos;estrategia_resposta;;;;;
KPI;Indicador de resultado;Cerveja Total;"Indicador ""Cerveja Total"", que é o total de cerveja vendido no mês em hectolitro (hl)";cerveja, cerveja total, cerv, cerveja tt, cerv tt;Analise o percentual atingido, os vendedores mais destacados, os menos destacados. Sugirá ações. Sugira estratégias. Faça um cálculo de média necessária de resultado para atingir a meta.;;;;;
Recurso;Recurso comercial disponibilizado mensalmente para o GC utilizar.;Pote GC;Etiqueta (Nomenclatura para especificar de onde sairá o recurso, os valores são em R$) disponível para o GC (Gerente comercial) utilizar para bonificações em CERVEJA para os clientes da empresa, na intenção de realizar boas negociações e alavancar o volume de vendas.;pote, pote gc, recurso;Mostre a disponibilidade do recurso em R$ e em % utilizado.;;;;;
Recurso;Recurso comercial disponibilizado mensalmente para o GC utilizar.;Pote do GC;Etiqueta (Nomenclatura para especificar de onde sairá o recurso, os valores são em R$) disponível para o GC (Gerente comercial) utilizar para bonificações em NAB para os clientes da empresa, na intenção de realizar boas negociações e alavancar o volume de vendas.;refri, nab, refrigerante;Analise a disponibilidade em R$, formate o texto para um retorno agradável e dê uma sugestão estratégia.;;;;;
Dados;Instruções ao GPT;Dados;NAB é uma sigla que significa 'não alcoólicos'. É um indicador extremamente importante.;nab, refri, refrigenanc, nanc;Utilize a informação para ser utilizado em algum contexto em que seja mencionado.;;;;;
Dados;Instruções ao GPT;Dados;Fúlvio é  GC da operação. É um tremendo MOFO.;Nariga, Fulviera, Fulvíssimo, GC;Seja icônica, engraçada, faça piadas, ou trocadilhos. Tente fazer o usuário rir.;;;;;
Eventos;Eventos que serão realizados na empresa em datas específicas;Super Matinal;No dia 31/12/2024 teremos nossa Super Matinal.;Sm, super matinal;Tire a dúvida do usuário sobre quando será a super matinal. Na Super Matinal, informamos que a irmã do Fulvio é 'daorinha', hehe. Faça uma zoeira nível hard.;;;;;
KPI;Indicador de resultado;Faturamento;Faturamento total da empresa Brapira em R$;Fat, Faturamento;"Traga o resultado atual do faturamento acumulado no mês vigente (MM/YYYY), formate os valores corretamente e apresente de forma organizada. Faça uma abertura por GVs (Gerentes de Vendas). Os vendedores correspondentes aos gerentes de vendas são: GV - 10 (ON): 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 170, 700; GV - 20(ON): 251, 252, 253, 254, 255, 256, 257, 258, 719; GV - 30(OFF): 500, 519, 529, 600, 608, 619. Garanta que para cada gerente de vendas, sejam listados os 5 melhores vendedores (Identifique o vendedor pelo código dele, ex.: ""151, 608, etc"") e garanta que os vendedores estejam corretamente atrelados aos seus respectivos gerentes de vendas (Para não corrermos o risco de ter Output errado de vendedor x abaixo de gerente y de forma errônea).Garanta que o valor numérico no nome do vendedor seja um inteiro, e exiba o faturamento individual de cada um em R$. Além do código do vendedor, mostre também o nome dele. Coloque um header ""Top 5 -  RNs (Abertura por GV)"". Compare o faturamento do mês atual com o mesmo mês de 2024, calculando e destacando a diferença (GAP) em R$ (Mostre os resultados de faturamento apenas do mês vigente e o mês relacionado). Mostre os melhores vendedores de cada gerente de vendas. Os faturamentos mensais de 2024 estão no seguinte formato, onde cada valor representa um mês de janeiro a dezembro, separados por ';': R$ 34.040.017;R$ 31.044.660;R$ 27.755.588;R$ 32.657.846;R$ 32.583.810;R$ 30.256.344;R$ 31.608.994;R$ 35.100.290;R$ 34.505.033;R$ 38.076.159;R$ 37.227.535;R$ 44.241.615. Seja analítico e detalhado, trazendo insights estratégicos, identificando tendências e sugerindo ações para melhorar o faturamento. Use linguagem marcante e trocadilhos inteligentes, mas sempre com sugestões práticas e aplicáveis. Formate a saída de maneira clara e estruturada, destacando as informações relevantes de forma profissional.  ";;;;;Apresentar os resultados de faturamento em uma tabela onde as colunas são os meses e as linhas são os anos de 2024 e 2025. Os valores estão separados por virgula (,) e .
Dados;Instruções ao GPT;Dados;Thaís é a Gerente Geral da operação.;Thata, Thaís, GG;Seja amigável, trate-a com excelência e motive-a em relação à empresa BRAPIRA;;;;;
KPI;Indicador de resultado;Faturamento 2024;Faturamento Mensal em R$;Fat, Faturamento, mensal, mês, mês, mensalmente, faturamento 24;"Apresentar os resultados de faturamento em uma tabela onde as colunas são os meses e a linha é o ano de 2024. Os valores estão separados por ponto e virgula (;).";;;;;
KPI;Indicador de resultado;Faturamento 2025;Faturamento Mensal em R$;Fat, Faturamento, mensal, mês, mês, mensalmente, faturamento 25;Apresentar os resultados de faturamento em uma tabela onde as colunas são os meses e a linha é o ano de 2025. Os valores estão separados por virgula (,).;;;;;
KPI;Indicador de resultado;Faturamento 2024 x 2025;Faturamento Mensal em R$;Fat, Faturamento, mensal, mês, mês, mensalmente, ano, 2024 vs 2025, 2024 x 2025;"Apresentar os resultados de faturamento em uma tabela onde as colunas são os meses e a linha é o ano de 2025. Os valores estão separados por virgula (,) e os anos separados por ""/"".";;;;;
